value,report_period_begin,region_name,report_period_end
721,2022-01-01,Приморский край,2022-09-01
36062,2022-01-01,Российская Федерация,2022-09-01
963,2022-01-01,Дальневосточный ФО,2022-05-01
385,2022-01-01,Хабаровский край,2022-09-01
149,2022-01-01,Сахалинская область,2022-12-01
2100,2022-01-01,Свердловская область,2022-12-01
502,2022-01-01,Уральский ФО,2022-01-01
202,2022-01-01,г. Севастополь,2022-12-01
2,2022-01-01,Ненецкий АО,2022-07-01
236,2022-01-01,Челябинская область,2022-01-01
554,2022-01-01,Ленинградская область,2022-12-01
169,2022-01-01,Республика Дагестан,2022-07-01
2400,2022-01-01,Московская область,2022-12-01
331,2022-01-01,Мурманская область,2022-12-01
170,2022-01-01,Республика Коми,2022-07-01
40,2022-01-01,Республика Марий Эл,2022-07-01
220,2022-01-01,Орловская область,2022-12-01
171,2022-01-01,Республика Карелия,2022-12-01
105,2022-01-01,Республика Татарстан,2022-01-01
2,2022-01-01,Республика Тыва,2022-01-01
653,2022-01-01,Ставропольский край,2022-09-01
1501,2022-01-01,г. Санкт-Петербург,2022-09-01
1067,2022-01-01,Красноярский край,2022-09-01
488,2022-01-01,Иркутская область,2022-09-01
657,2022-01-01,Пермский край,2022-09-01
141,2022-01-01,Амурская область,2022-09-01
463,2022-01-01,Саратовская область,2022-07-01
1691,2022-01-01,Республика Татарстан,2022-12-01
626,2022-01-01,Республика Крым,2022-12-01
255,2022-01-01,Калужская область,2022-12-01
374,2022-01-01,Ханты-Мансийский АО,2022-07-01
229,2022-01-01,Кировская область,2022-07-01
0,2022-01-01,Чукотский АО,2022-01-01
25,2022-01-01,Пермский край,2022-01-01
12,2022-01-01,Забайкальский край,2022-01-01
2,2022-01-01,Чукотский АО,2022-12-01
52794,2022-01-01,Российская Федерация,2022-12-01
5,2022-01-01,Республика Бурятия,2022-01-01
38,2022-01-01,Республика Бурятия,2022-12-01
430,2022-01-01,Республика Дагестан,2022-12-01
382,2022-01-01,Ленинградская область,2022-09-01
156,2022-01-01,Тульская область,2022-09-01
60,2022-01-01,Камчатский край,2022-09-01
137,2022-01-01,Забайкальский край,2022-09-01
123,2022-01-01,Республика Саха (Якутия),2022-09-01
265,2022-01-01,Липецкая область,2022-09-01
177,2022-01-01,Ульяновская область,2022-09-01
78,2022-01-01,Сахалинская область,2022-07-01
340,2022-01-01,Удмуртская Республика,2022-07-01
1195,2022-01-01,Кемеровская область-Кузбасс,2022-12-01
349,2022-01-01,Томская область,2022-12-01
111,2022-01-01,Костромская область,2022-07-01
5932,2022-01-01,Центральный ФО,2022-07-01
1449,2022-01-01,Красноярский край,2022-12-01
6153,2022-01-01,Южный ФО,2022-12-01
6,2022-01-01,Республика Дагестан,2022-01-01
188,2022-01-01,Забайкальский край,2022-12-01
6610,2022-01-01,Уральский ФО,2022-12-01
10,2022-01-01,Республика Коми,2022-01-01
57,2022-01-01,Белгородская область,2022-07-01
459,2022-01-01,Волгоградская область,2022-12-01
236,2022-01-01,Вологодская область,2022-12-01
123,2022-01-01,Республика Хакасия,2022-09-01
24,2022-01-01,Еврейская АО,2022-09-01
33,2022-01-01,г. Севастополь,2022-02-01
81,2022-01-01,Республика Ингушетия,2022-09-01
1,2022-01-01,Ненецкий АО,2022-02-01
87,2022-01-01,Республика Хакасия,2022-07-01
3512,2022-01-01,Сибирский ФО,2022-07-01
132,2022-01-01,Ивановская область,2022-07-01
47,2022-01-01,Калининградская область,2022-07-01
214,2022-01-01,Смоленская область,2022-07-01
646,2022-01-01,Удмуртская Республика,2022-12-01
226,2022-01-01,Республика Хакасия,2022-12-01
60,2022-01-01,Республика Ингушетия,2022-07-01
44,2022-01-01,Камчатский край,2022-07-01
2391,2022-01-01,Северо-Западный ФО,2022-07-01
425,2022-01-01,Архангельская область,2022-12-01
560,2022-01-01,Тюменская область,2022-07-01
2385,2022-01-01,Северо-Кавказский ФО,2022-12-01
22,2022-01-01,Брянская область,2022-07-01
85,2022-01-01,Орловская область,2022-07-01
2043,2022-01-01,Ростовская область,2022-12-01
49,2022-01-01,Чеченская Республика,2022-09-01
13,2022-01-01,Воронежская область,2022-02-01
32,2022-01-01,Ивановская область,2022-02-01
146,2022-01-01,Чувашская Республика,2022-09-01
16,2022-01-01,Тверская область,2022-02-01
52,2022-01-01,Республика Крым,2022-02-01
101,2022-01-01,Ханты-Мансийский АО,2022-02-01
56,2022-01-01,Кировская область,2022-02-01
1426,2022-01-01,Дальневосточный ФО,2022-07-01
9,2022-01-01,Удмуртская Республика,2022-01-01
